size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,62.57,0.00,0.00,0,61.12,0.00,0.00,0
16,4,float,sum,-1,61.66,0.00,0.00,0,61.51,0.00,0.00,0
32,8,float,sum,-1,61.36,0.00,0.00,0,61.81,0.00,0.00,0
64,16,float,sum,-1,67.91,0.00,0.00,0,67.72,0.00,0.00,0
128,32,float,sum,-1,69.58,0.00,0.00,0,68.24,0.00,0.00,0
256,64,float,sum,-1,79.30,0.00,0.01,0,69.17,0.00,0.01,0
512,128,float,sum,-1,80.57,0.01,0.01,0,73.57,0.01,0.01,0
1024,256,float,sum,-1,82.15,0.01,0.02,0,81.06,0.01,0.03,0
2048,512,float,sum,-1,88.20,0.02,0.05,0,86.92,0.02,0.05,0
4096,1024,float,sum,-1,139.6,0.03,0.06,0,137.7,0.03,0.06,0
8192,2048,float,sum,-1,143.7,0.06,0.11,0,144.0,0.06,0.11,0
16384,4096,float,sum,-1,144.9,0.11,0.22,0,141.3,0.12,0.23,0
32768,8192,float,sum,-1,155.1,0.21,0.42,0,150.9,0.22,0.43,0
65536,16384,float,sum,-1,172.7,0.38,0.75,0,173.5,0.38,0.75,0
131072,32768,float,sum,-1,186.9,0.70,1.39,0,193.5,0.68,1.34,0
262144,65536,float,sum,-1,331.3,0.79,1.57,0,253.5,1.03,2.05,0
524288,131072,float,sum,-1,326.3,1.61,3.19,0,327.5,1.60,3.18,0
1048576,262144,float,sum,-1,406.2,2.58,5.12,0,418.7,2.50,4.97,0
2097152,524288,float,sum,-1,519.5,4.04,8.01,0,523.7,4.00,7.95,0
4194304,1048576,float,sum,-1,803.2,5.22,10.36,0,869.9,4.82,9.57,0
8388608,2097152,float,sum,-1,1360.3,6.17,12.24,0,1361.4,6.16,12.23,0
16777216,4194304,float,sum,-1,2286.1,7.34,14.56,0,2225.4,7.54,14.96,0
33554432,8388608,float,sum,-1,2866.0,11.71,23.23,0,2880.6,11.65,23.12,0
67108864,16777216,float,sum,-1,4929.4,13.61,27.02,0,4990.7,13.45,26.68,0
134217728,33554432,float,sum,-1,9301.6,14.43,28.63,0,9147.4,14.67,29.12,0
268435456,67108864,float,sum,-1,12149,22.10,43.85,0,12035,22.30,44.26,0
536870912,134217728,float,sum,-1,13633,39.38,78.15,0,13248,40.52,80.42,0
1073741824,268435456,float,sum,-1,26594,40.38,80.12,0,26593,40.38,80.12,0
2147483648,536870912,float,sum,-1,54783,39.20,77.79,0,54707,39.25,77.90,0
4294967296,1073741824,float,sum,-1,116613,36.83,73.09,0,118210,36.33,72.10,0
8,2,float,sum,-1,63.87,0.00,0.00,0,62.29,0.00,0.00,0
16,4,float,sum,-1,61.21,0.00,0.00,0,62.18,0.00,0.00,0
32,8,float,sum,-1,61.52,0.00,0.00,0,61.90,0.00,0.00,0
64,16,float,sum,-1,68.70,0.00,0.00,0,68.06,0.00,0.00,0
128,32,float,sum,-1,69.58,0.00,0.00,0,68.24,0.00,0.00,0
256,64,float,sum,-1,70.44,0.00,0.01,0,69.91,0.00,0.01,0
512,128,float,sum,-1,72.82,0.01,0.01,0,72.06,0.01,0.01,0
1024,256,float,sum,-1,82.13,0.01,0.02,0,80.71,0.01,0.03,0
2048,512,float,sum,-1,88.61,0.02,0.05,0,87.89,0.02,0.05,0
4096,1024,float,sum,-1,140.3,0.03,0.06,0,139.3,0.03,0.06,0
8192,2048,float,sum,-1,141.4,0.06,0.11,0,140.0,0.06,0.12,0
16384,4096,float,sum,-1,142.6,0.11,0.23,0,141.1,0.12,0.23,0
32768,8192,float,sum,-1,155.8,0.21,0.42,0,155.7,0.21,0.42,0
65536,16384,float,sum,-1,171.6,0.38,0.76,0,168.7,0.39,0.77,0
131072,32768,float,sum,-1,191.3,0.69,1.36,0,199.5,0.66,1.30,0
262144,65536,float,sum,-1,244.0,1.07,2.13,0,235.8,1.11,2.21,0
524288,131072,float,sum,-1,327.6,1.60,3.18,0,329.3,1.59,3.16,0
1048576,262144,float,sum,-1,412.1,2.54,5.05,0,395.0,2.65,5.27,0
2097152,524288,float,sum,-1,540.6,3.88,7.70,0,511.9,4.10,8.13,0
4194304,1048576,float,sum,-1,803.4,5.22,10.36,0,804.1,5.22,10.35,0
8388608,2097152,float,sum,-1,1364.0,6.15,12.20,0,1358.7,6.17,12.25,0
16777216,4194304,float,sum,-1,2230.6,7.52,14.93,0,2241.2,7.49,14.85,0
33554432,8388608,float,sum,-1,2901.9,11.56,22.95,0,2932.7,11.44,22.70,0
67108864,16777216,float,sum,-1,5047.4,13.30,26.38,0,5001.9,13.42,26.62,0
134217728,33554432,float,sum,-1,9195.0,14.60,28.97,0,9165.1,14.64,29.06,0
268435456,67108864,float,sum,-1,12103,22.18,44.01,0,12009,22.35,44.36,0
536870912,134217728,float,sum,-1,13227,40.59,80.54,0,12878,41.69,82.73,0
1073741824,268435456,float,sum,-1,26630,40.32,80.01,0,26565,40.42,80.21,0
2147483648,536870912,float,sum,-1,54813,39.18,77.75,0,54873,39.14,77.66,0
4294967296,1073741824,float,sum,-1,116668,36.81,73.05,0,116557,36.85,73.12,0
8,2,float,sum,-1,65.05,0.00,0.00,0,62.17,0.00,0.00,0
16,4,float,sum,-1,62.25,0.00,0.00,0,61.19,0.00,0.00,0
32,8,float,sum,-1,62.70,0.00,0.00,0,62.41,0.00,0.00,0
64,16,float,sum,-1,69.27,0.00,0.00,0,68.72,0.00,0.00,0
128,32,float,sum,-1,69.75,0.00,0.00,0,80.88,0.00,0.00,0
256,64,float,sum,-1,70.12,0.00,0.01,0,70.09,0.00,0.01,0
512,128,float,sum,-1,73.18,0.01,0.01,0,71.37,0.01,0.01,0
1024,256,float,sum,-1,81.54,0.01,0.02,0,80.88,0.01,0.03,0
2048,512,float,sum,-1,87.60,0.02,0.05,0,88.00,0.02,0.05,0
4096,1024,float,sum,-1,139.7,0.03,0.06,0,138.4,0.03,0.06,0
8192,2048,float,sum,-1,141.5,0.06,0.11,0,139.8,0.06,0.12,0
16384,4096,float,sum,-1,142.3,0.12,0.23,0,141.4,0.12,0.23,0
32768,8192,float,sum,-1,153.9,0.21,0.42,0,154.9,0.21,0.42,0
65536,16384,float,sum,-1,174.4,0.38,0.75,0,163.8,0.40,0.79,0
131072,32768,float,sum,-1,186.3,0.70,1.40,0,184.1,0.71,1.41,0
262144,65536,float,sum,-1,237.4,1.10,2.19,0,248.1,1.06,2.10,0
524288,131072,float,sum,-1,326.3,1.61,3.19,0,770.9,0.68,1.35,0
1048576,262144,float,sum,-1,462.5,2.27,4.50,0,387.5,2.71,5.37,0
2097152,524288,float,sum,-1,509.1,4.12,8.17,0,513.5,4.08,8.10,0
4194304,1048576,float,sum,-1,804.3,5.21,10.35,0,802.3,5.23,10.37,0
8388608,2097152,float,sum,-1,1367.0,6.14,12.18,0,1360.8,6.16,12.23,0
16777216,4194304,float,sum,-1,2243.0,7.48,14.84,0,2237.1,7.50,14.88,0
33554432,8388608,float,sum,-1,2881.6,11.64,23.11,0,2888.2,11.62,23.05,0
67108864,16777216,float,sum,-1,4939.8,13.59,26.96,0,4948.5,13.56,26.91,0
134217728,33554432,float,sum,-1,9088.9,14.77,29.30,0,9081.4,14.78,29.33,0
268435456,67108864,float,sum,-1,11801,22.75,45.14,0,11752,22.84,45.33,0
536870912,134217728,float,sum,-1,12857,41.76,82.86,0,12893,41.64,82.63,0
1073741824,268435456,float,sum,-1,26643,40.30,79.97,0,26584,40.39,80.15,0
2147483648,536870912,float,sum,-1,54906,39.11,77.61,0,54753,39.22,77.83,0
4294967296,1073741824,float,sum,-1,116611,36.83,73.09,0,116589,36.84,73.10,0
8,2,float,sum,-1,64.68,0.00,0.00,0,62.81,0.00,0.00,0
16,4,float,sum,-1,62.62,0.00,0.00,0,62.08,0.00,0.00,0
32,8,float,sum,-1,62.11,0.00,0.00,0,63.19,0.00,0.00,0
64,16,float,sum,-1,69.32,0.00,0.00,0,68.58,0.00,0.00,0
128,32,float,sum,-1,70.84,0.00,0.00,0,68.67,0.00,0.00,0
256,64,float,sum,-1,71.28,0.00,0.01,0,69.37,0.00,0.01,0
512,128,float,sum,-1,73.34,0.01,0.01,0,73.37,0.01,0.01,0
1024,256,float,sum,-1,82.22,0.01,0.02,0,81.00,0.01,0.03,0
2048,512,float,sum,-1,88.96,0.02,0.05,0,87.24,0.02,0.05,0
4096,1024,float,sum,-1,141.1,0.03,0.06,0,139.1,0.03,0.06,0
8192,2048,float,sum,-1,142.5,0.06,0.11,0,150.0,0.05,0.11,0
16384,4096,float,sum,-1,143.8,0.11,0.23,0,140.9,0.12,0.23,0
32768,8192,float,sum,-1,156.4,0.21,0.42,0,154.2,0.21,0.42,0
65536,16384,float,sum,-1,168.8,0.39,0.77,0,165.3,0.40,0.79,0
131072,32768,float,sum,-1,186.5,0.70,1.39,0,185.2,0.71,1.40,0
262144,65536,float,sum,-1,252.3,1.04,2.06,0,235.3,1.11,2.21,0
524288,131072,float,sum,-1,325.6,1.61,3.20,0,323.3,1.62,3.22,0
1048576,262144,float,sum,-1,382.8,2.74,5.44,0,380.2,2.76,5.47,0
2097152,524288,float,sum,-1,508.7,4.12,8.18,0,509.8,4.11,8.16,0
4194304,1048576,float,sum,-1,803.4,5.22,10.36,0,809.6,5.18,10.28,0
8388608,2097152,float,sum,-1,1367.7,6.13,12.17,0,1357.7,6.18,12.26,0
16777216,4194304,float,sum,-1,2254.4,7.44,14.77,0,2225.3,7.54,14.96,0
33554432,8388608,float,sum,-1,2875.3,11.67,23.16,0,2901.0,11.57,22.95,0
67108864,16777216,float,sum,-1,5028.5,13.35,26.48,0,5023.8,13.36,26.51,0
134217728,33554432,float,sum,-1,9264.3,14.49,28.75,0,9367.4,14.33,28.43,0
268435456,67108864,float,sum,-1,11820,22.71,45.06,0,11751,22.84,45.33,0
536870912,134217728,float,sum,-1,12865,41.73,82.81,0,12872,41.71,82.76,0
1073741824,268435456,float,sum,-1,26630,40.32,80.01,0,26608,40.35,80.08,0
2147483648,536870912,float,sum,-1,54577,39.35,78.08,0,54903,39.11,77.62,0
4294967296,1073741824,float,sum,-1,116428,36.89,73.20,0,116636,36.82,73.07,0
8,2,float,sum,-1,63.52,0.00,0.00,0,62.53,0.00,0.00,0
16,4,float,sum,-1,63.05,0.00,0.00,0,62.35,0.00,0.00,0
32,8,float,sum,-1,62.61,0.00,0.00,0,62.21,0.00,0.00,0
64,16,float,sum,-1,69.47,0.00,0.00,0,69.26,0.00,0.00,0
128,32,float,sum,-1,69.79,0.00,0.00,0,69.42,0.00,0.00,0
256,64,float,sum,-1,70.60,0.00,0.01,0,70.19,0.00,0.01,0
512,128,float,sum,-1,72.24,0.01,0.01,0,71.40,0.01,0.01,0
1024,256,float,sum,-1,82.66,0.01,0.02,0,80.54,0.01,0.03,0
2048,512,float,sum,-1,88.22,0.02,0.05,0,87.33,0.02,0.05,0
4096,1024,float,sum,-1,141.2,0.03,0.06,0,138.2,0.03,0.06,0
8192,2048,float,sum,-1,155.9,0.05,0.10,0,140.7,0.06,0.12,0
16384,4096,float,sum,-1,143.0,0.11,0.23,0,142.7,0.11,0.23,0
32768,8192,float,sum,-1,159.1,0.21,0.41,0,157.0,0.21,0.41,0
65536,16384,float,sum,-1,167.8,0.39,0.78,0,176.9,0.37,0.74,0
131072,32768,float,sum,-1,194.4,0.67,1.34,0,183.7,0.71,1.42,0
262144,65536,float,sum,-1,258.2,1.02,2.01,0,247.6,1.06,2.10,0
524288,131072,float,sum,-1,325.8,1.61,3.19,0,321.3,1.63,3.24,0
1048576,262144,float,sum,-1,382.5,2.74,5.44,0,379.8,2.76,5.48,0
2097152,524288,float,sum,-1,508.6,4.12,8.18,0,526.4,3.98,7.91,0
4194304,1048576,float,sum,-1,804.2,5.22,10.35,0,803.1,5.22,10.36,0
8388608,2097152,float,sum,-1,1361.4,6.16,12.23,0,1363.7,6.15,12.21,0
16777216,4194304,float,sum,-1,2225.5,7.54,14.96,0,2246.5,7.47,14.82,0
33554432,8388608,float,sum,-1,2915.7,11.51,22.84,0,2868.4,11.70,23.21,0
67108864,16777216,float,sum,-1,4935.1,13.60,26.98,0,5055.6,13.27,26.34,0
