size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,17.97,0.00,0.00,0,17.95,0.00,0.00,0
16,4,float,sum,-1,17.90,0.00,0.00,0,17.98,0.00,0.00,0
32,8,float,sum,-1,17.90,0.00,0.00,0,18.15,0.00,0.00,0
64,16,float,sum,-1,19.89,0.00,0.01,0,19.41,0.00,0.01,0
128,32,float,sum,-1,19.81,0.01,0.01,0,19.66,0.01,0.01,0
256,64,float,sum,-1,20.31,0.01,0.02,0,19.80,0.01,0.02,0
512,128,float,sum,-1,20.56,0.02,0.04,0,20.31,0.03,0.04,0
1024,256,float,sum,-1,22.57,0.05,0.08,0,22.06,0.05,0.08,0
2048,512,float,sum,-1,23.70,0.09,0.15,0,23.44,0.09,0.15,0
4096,1024,float,sum,-1,34.74,0.12,0.21,0,34.21,0.12,0.21,0
8192,2048,float,sum,-1,35.48,0.23,0.40,0,34.70,0.24,0.41,0
16384,4096,float,sum,-1,36.02,0.45,0.80,0,35.12,0.47,0.82,0
32768,8192,float,sum,-1,36.49,0.90,1.57,0,36.36,0.90,1.58,0
65536,16384,float,sum,-1,58.36,1.12,1.97,0,57.28,1.14,2.00,0
131072,32768,float,sum,-1,72.96,1.80,3.14,0,71.51,1.83,3.21,0
262144,65536,float,sum,-1,115.2,2.28,3.98,0,104.5,2.51,4.39,0
524288,131072,float,sum,-1,109.9,4.77,8.35,0,111.1,4.72,8.26,0
1048576,262144,float,sum,-1,178.0,5.89,10.31,0,124.4,8.43,14.76,0
2097152,524288,float,sum,-1,181.8,11.54,20.19,0,181.2,11.57,20.25,0
4194304,1048576,float,sum,-1,294.3,14.25,24.94,0,294.3,14.25,24.94,0
8388608,2097152,float,sum,-1,346.5,24.21,42.37,0,378.1,22.19,38.83,0
16777216,4194304,float,sum,-1,446.3,37.60,65.79,0,448.1,37.44,65.53,0
33554432,8388608,float,sum,-1,685.1,48.98,85.71,0,680.8,49.29,86.26,0
67108864,16777216,float,sum,-1,1031.6,65.05,113.84,0,1044.3,64.26,112.45,0
134217728,33554432,float,sum,-1,1787.6,75.08,131.39,0,1792.4,74.88,131.04,0
268435456,67108864,float,sum,-1,3315.4,80.97,141.69,0,3336.6,80.45,140.79,0
536870912,134217728,float,sum,-1,6417.8,83.65,146.39,0,6386.6,84.06,147.11,0
1073741824,268435456,float,sum,-1,12509,85.84,150.22,0,12486,86.00,150.50,0
2147483648,536870912,float,sum,-1,24732,86.83,151.95,0,24699,86.95,152.16,0
4294967296,1073741824,float,sum,-1,49180,87.33,152.83,0,49167,87.35,152.87,0
8,2,float,sum,-1,18.44,0.00,0.00,0,18.12,0.00,0.00,0
16,4,float,sum,-1,18.04,0.00,0.00,0,17.91,0.00,0.00,0
32,8,float,sum,-1,17.88,0.00,0.00,0,18.07,0.00,0.00,0
64,16,float,sum,-1,19.76,0.00,0.01,0,19.58,0.00,0.01,0
128,32,float,sum,-1,20.06,0.01,0.01,0,19.98,0.01,0.01,0
256,64,float,sum,-1,20.44,0.01,0.02,0,19.77,0.01,0.02,0
512,128,float,sum,-1,20.83,0.02,0.04,0,20.86,0.02,0.04,0
1024,256,float,sum,-1,22.88,0.04,0.08,0,22.33,0.05,0.08,0
2048,512,float,sum,-1,23.90,0.09,0.15,0,23.86,0.09,0.15,0
4096,1024,float,sum,-1,34.76,0.12,0.21,0,34.23,0.12,0.21,0
8192,2048,float,sum,-1,34.94,0.23,0.41,0,34.46,0.24,0.42,0
16384,4096,float,sum,-1,35.57,0.46,0.81,0,35.38,0.46,0.81,0
32768,8192,float,sum,-1,36.54,0.90,1.57,0,36.06,0.91,1.59,0
65536,16384,float,sum,-1,57.51,1.14,1.99,0,59.40,1.10,1.93,0
131072,32768,float,sum,-1,71.96,1.82,3.19,0,71.91,1.82,3.19,0
262144,65536,float,sum,-1,164.8,1.59,2.78,0,121.0,2.17,3.79,0
524288,131072,float,sum,-1,110.7,4.74,8.29,0,135.3,3.87,6.78,0
1048576,262144,float,sum,-1,123.4,8.50,14.87,0,140.6,7.46,13.05,0
2097152,524288,float,sum,-1,183.2,11.45,20.04,0,181.9,11.53,20.18,0
4194304,1048576,float,sum,-1,294.7,14.23,24.91,0,295.6,14.19,24.83,0
8388608,2097152,float,sum,-1,346.8,24.19,42.33,0,346.5,24.21,42.37,0
16777216,4194304,float,sum,-1,450.2,37.27,65.22,0,450.3,37.25,65.19,0
33554432,8388608,float,sum,-1,684.4,49.03,85.80,0,682.9,49.14,85.99,0
67108864,16777216,float,sum,-1,1024.4,65.51,114.64,0,1022.0,65.66,114.91,0
134217728,33554432,float,sum,-1,1789.2,75.02,131.28,0,1789.3,75.01,131.27,0
268435456,67108864,float,sum,-1,3305.0,81.22,142.13,0,3314.3,80.99,141.74,0
536870912,134217728,float,sum,-1,6380.7,84.14,147.24,0,6383.3,84.11,147.18,0
1073741824,268435456,float,sum,-1,12500,85.90,150.33,0,12499,85.91,150.34,0
2147483648,536870912,float,sum,-1,24728,86.84,151.97,0,24722,86.87,152.02,0
4294967296,1073741824,float,sum,-1,49226,87.25,152.69,0,49000,87.65,153.39,0
8,2,float,sum,-1,18.60,0.00,0.00,0,18.02,0.00,0.00,0
16,4,float,sum,-1,18.24,0.00,0.00,0,17.85,0.00,0.00,0
32,8,float,sum,-1,18.00,0.00,0.00,0,18.06,0.00,0.00,0
64,16,float,sum,-1,19.63,0.00,0.01,0,19.44,0.00,0.01,0
128,32,float,sum,-1,20.11,0.01,0.01,0,19.92,0.01,0.01,0
256,64,float,sum,-1,20.36,0.01,0.02,0,20.18,0.01,0.02,0
512,128,float,sum,-1,21.02,0.02,0.04,0,20.65,0.02,0.04,0
1024,256,float,sum,-1,22.76,0.04,0.08,0,22.89,0.04,0.08,0
2048,512,float,sum,-1,23.85,0.09,0.15,0,23.86,0.09,0.15,0
4096,1024,float,sum,-1,34.76,0.12,0.21,0,34.08,0.12,0.21,0
8192,2048,float,sum,-1,35.06,0.23,0.41,0,34.52,0.24,0.42,0
16384,4096,float,sum,-1,35.70,0.46,0.80,0,35.23,0.47,0.81,0
32768,8192,float,sum,-1,36.62,0.89,1.57,0,36.30,0.90,1.58,0
65536,16384,float,sum,-1,57.36,1.14,2.00,0,57.17,1.15,2.01,0
131072,32768,float,sum,-1,73.96,1.77,3.10,0,71.68,1.83,3.20,0
262144,65536,float,sum,-1,137.2,1.91,3.34,0,108.7,2.41,4.22,0
524288,131072,float,sum,-1,110.0,4.77,8.34,0,108.3,4.84,8.47,0
1048576,262144,float,sum,-1,124.4,8.43,14.75,0,122.1,8.59,15.03,0
2097152,524288,float,sum,-1,181.8,11.53,20.18,0,181.7,11.54,20.19,0
4194304,1048576,float,sum,-1,294.7,14.23,24.91,0,294.9,14.22,24.89,0
8388608,2097152,float,sum,-1,347.3,24.15,42.27,0,347.0,24.17,42.30,0
16777216,4194304,float,sum,-1,449.6,37.31,65.30,0,449.7,37.31,65.29,0
33554432,8388608,float,sum,-1,683.4,49.10,85.93,0,681.9,49.21,86.11,0
67108864,16777216,float,sum,-1,1024.1,65.53,114.68,0,1022.2,65.65,114.89,0
134217728,33554432,float,sum,-1,1787.5,75.09,131.40,0,1785.6,75.17,131.54,0
268435456,67108864,float,sum,-1,3319.7,80.86,141.51,0,3312.3,81.04,141.82,0
