size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,16.26,0.00,0.00,0,15.15,0.00,0.00,0
16,4,float,sum,-1,15.09,0.00,0.00,0,14.88,0.00,0.00,0
32,8,float,sum,-1,15.06,0.00,0.00,0,14.97,0.00,0.00,0
64,16,float,sum,-1,16.55,0.00,0.01,0,16.41,0.00,0.01,0
128,32,float,sum,-1,16.74,0.01,0.01,0,16.77,0.01,0.01,0
256,64,float,sum,-1,17.09,0.01,0.03,0,16.80,0.02,0.03,0
512,128,float,sum,-1,17.44,0.03,0.05,0,17.22,0.03,0.05,0
1024,256,float,sum,-1,18.15,0.06,0.10,0,17.74,0.06,0.10,0
2048,512,float,sum,-1,18.93,0.11,0.19,0,18.53,0.11,0.19,0
4096,1024,float,sum,-1,32.41,0.13,0.22,0,31.02,0.13,0.23,0
8192,2048,float,sum,-1,32.28,0.25,0.44,0,31.68,0.26,0.45,0
16384,4096,float,sum,-1,33.09,0.50,0.87,0,32.16,0.51,0.89,0
32768,8192,float,sum,-1,34.42,0.95,1.67,0,34.24,0.96,1.67,0
65536,16384,float,sum,-1,66.10,0.99,1.74,0,65.10,1.01,1.76,0
131072,32768,float,sum,-1,65.45,2.00,3.50,0,66.69,1.97,3.44,0
262144,65536,float,sum,-1,94.14,2.78,4.87,0,88.95,2.95,5.16,0
524288,131072,float,sum,-1,100.0,5.24,9.17,0,99.29,5.28,9.24,0
1048576,262144,float,sum,-1,118.3,8.87,15.52,0,117.6,8.92,15.61,0
2097152,524288,float,sum,-1,189.0,11.10,19.42,0,188.6,11.12,19.46,0
4194304,1048576,float,sum,-1,302.7,13.86,24.25,0,300.7,13.95,24.41,0
8388608,2097152,float,sum,-1,353.2,23.75,41.57,0,352.6,23.79,41.63,0
16777216,4194304,float,sum,-1,478.8,35.04,61.32,0,465.8,36.02,63.03,0
33554432,8388608,float,sum,-1,995.4,33.71,58.99,0,1000.1,33.55,58.71,0
67108864,16777216,float,sum,-1,1222.1,54.91,96.10,0,1221.9,54.92,96.11,0
134217728,33554432,float,sum,-1,1983.7,67.66,118.41,0,1977.2,67.88,118.79,0
268435456,67108864,float,sum,-1,3507.3,76.54,133.94,0,3500.0,76.70,134.22,0
536870912,134217728,float,sum,-1,6566.3,81.76,143.08,0,6554.3,81.91,143.34,0
1073741824,268435456,float,sum,-1,12682,84.66,148.16,0,12668,84.76,148.32,0
2147483648,536870912,float,sum,-1,24923,86.16,150.79,0,24917,86.19,150.83,0
4294967296,1073741824,float,sum,-1,49509,86.75,151.81,0,49475,86.81,151.92,0
8,2,float,sum,-1,15.66,0.00,0.00,0,15.09,0.00,0.00,0
16,4,float,sum,-1,15.04,0.00,0.00,0,14.89,0.00,0.00,0
32,8,float,sum,-1,15.11,0.00,0.00,0,15.00,0.00,0.00,0
64,16,float,sum,-1,16.59,0.00,0.01,0,16.46,0.00,0.01,0
128,32,float,sum,-1,16.78,0.01,0.01,0,16.62,0.01,0.01,0
256,64,float,sum,-1,17.12,0.01,0.03,0,17.19,0.01,0.03,0
512,128,float,sum,-1,17.44,0.03,0.05,0,17.24,0.03,0.05,0
1024,256,float,sum,-1,18.07,0.06,0.10,0,17.68,0.06,0.10,0
2048,512,float,sum,-1,18.98,0.11,0.19,0,18.91,0.11,0.19,0
4096,1024,float,sum,-1,31.37,0.13,0.23,0,31.23,0.13,0.23,0
8192,2048,float,sum,-1,32.04,0.26,0.45,0,31.70,0.26,0.45,0
16384,4096,float,sum,-1,32.48,0.50,0.88,0,32.08,0.51,0.89,0
32768,8192,float,sum,-1,34.89,0.94,1.64,0,34.05,0.96,1.68,0
65536,16384,float,sum,-1,65.52,1.00,1.75,0,64.93,1.01,1.77,0
131072,32768,float,sum,-1,65.45,2.00,3.50,0,65.37,2.01,3.51,0
262144,65536,float,sum,-1,89.84,2.92,5.11,0,89.45,2.93,5.13,0
524288,131072,float,sum,-1,99.27,5.28,9.24,0,98.95,5.30,9.27,0
1048576,262144,float,sum,-1,118.7,8.84,15.46,0,117.7,8.91,15.59,0
2097152,524288,float,sum,-1,189.3,11.08,19.39,0,186.6,11.24,19.66,0
4194304,1048576,float,sum,-1,299.3,14.01,24.53,0,300.0,13.98,24.46,0
8388608,2097152,float,sum,-1,356.4,23.54,41.19,0,353.8,23.71,41.49,0
