size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,15.57,0.00,0.00,0,15.26,0.00,0.00,0
16,4,float,sum,-1,15.21,0.00,0.00,0,15.25,0.00,0.00,0
32,8,float,sum,-1,15.19,0.00,0.00,0,15.15,0.00,0.00,0
64,16,float,sum,-1,16.78,0.00,0.01,0,16.62,0.00,0.01,0
128,32,float,sum,-1,25.70,0.00,0.01,0,25.30,0.01,0.01,0
256,64,float,sum,-1,26.05,0.01,0.02,0,25.58,0.01,0.02,0
512,128,float,sum,-1,25.83,0.02,0.03,0,26.00,0.02,0.03,0
1024,256,float,sum,-1,27.00,0.04,0.07,0,26.58,0.04,0.07,0
2048,512,float,sum,-1,27.87,0.07,0.13,0,27.30,0.08,0.13,0
4096,1024,float,sum,-1,30.26,0.14,0.24,0,29.85,0.14,0.24,0
8192,2048,float,sum,-1,31.37,0.26,0.46,0,30.77,0.27,0.47,0
16384,4096,float,sum,-1,31.93,0.51,0.90,0,30.95,0.53,0.93,0
32768,8192,float,sum,-1,34.50,0.95,1.66,0,34.92,0.94,1.64,0
65536,16384,float,sum,-1,62.89,1.04,1.82,0,61.99,1.06,1.85,0
131072,32768,float,sum,-1,67.10,1.95,3.42,0,66.21,1.98,3.46,0
262144,65536,float,sum,-1,99.28,2.64,4.62,0,97.07,2.70,4.73,0
524288,131072,float,sum,-1,172.6,3.04,5.32,0,169.8,3.09,5.40,0
1048576,262144,float,sum,-1,256.0,4.10,7.17,0,255.6,4.10,7.18,0
2097152,524288,float,sum,-1,136.4,15.38,26.91,0,137.1,15.30,26.78,0
4194304,1048576,float,sum,-1,218.0,19.24,33.67,0,220.0,19.07,33.37,0
8388608,2097152,float,sum,-1,335.6,25.00,43.74,0,351.1,23.89,41.81,0
16777216,4194304,float,sum,-1,555.9,30.18,52.81,0,550.5,30.47,53.33,0
33554432,8388608,float,sum,-1,861.2,38.96,68.18,0,860.4,39.00,68.25,0
67108864,16777216,float,sum,-1,1468.0,45.72,80.00,0,1434.3,46.79,81.88,0
134217728,33554432,float,sum,-1,2334.7,57.49,100.60,0,2369.3,56.65,99.14,0
268435456,67108864,float,sum,-1,3817.5,70.32,123.05,0,3753.8,71.51,125.14,0
536870912,134217728,float,sum,-1,6658.0,80.64,141.11,0,6675.0,80.43,140.75,0
1073741824,268435456,float,sum,-1,12451,86.24,150.92,0,12526,85.72,150.01,0
2147483648,536870912,float,sum,-1,24080,89.18,156.07,0,24037,89.34,156.35,0
4294967296,1073741824,float,sum,-1,47345,90.72,158.75,0,47256,90.89,159.05,0
8,2,float,sum,-1,16.00,0.00,0.00,0,15.43,0.00,0.00,0
16,4,float,sum,-1,15.18,0.00,0.00,0,15.29,0.00,0.00,0
32,8,float,sum,-1,15.11,0.00,0.00,0,15.35,0.00,0.00,0
64,16,float,sum,-1,17.03,0.00,0.01,0,16.65,0.00,0.01,0
128,32,float,sum,-1,25.61,0.00,0.01,0,25.26,0.01,0.01,0
256,64,float,sum,-1,25.66,0.01,0.02,0,25.91,0.01,0.02,0
