size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,38.33,0.00,0.00,0,37.31,0.00,0.00,0
16,4,float,sum,-1,37.28,0.00,0.00,0,36.87,0.00,0.00,0
32,8,float,sum,-1,37.12,0.00,0.00,0,37.43,0.00,0.00,0
64,16,float,sum,-1,41.92,0.00,0.00,0,41.38,0.00,0.00,0
128,32,float,sum,-1,42.49,0.00,0.01,0,41.82,0.00,0.01,0
256,64,float,sum,-1,47.11,0.01,0.01,0,42.06,0.01,0.01,0
512,128,float,sum,-1,44.12,0.01,0.02,0,43.75,0.01,0.02,0
1024,256,float,sum,-1,46.08,0.02,0.04,0,45.05,0.02,0.04,0
2048,512,float,sum,-1,48.21,0.04,0.08,0,48.29,0.04,0.08,0
4096,1024,float,sum,-1,101.3,0.04,0.08,0,99.90,0.04,0.08,0
8192,2048,float,sum,-1,102.3,0.08,0.16,0,101.2,0.08,0.16,0
16384,4096,float,sum,-1,104.6,0.16,0.30,0,102.9,0.16,0.31,0
32768,8192,float,sum,-1,109.0,0.30,0.58,0,108.7,0.30,0.58,0
65536,16384,float,sum,-1,150.6,0.44,0.84,0,113.0,0.58,1.12,0
131072,32768,float,sum,-1,126.6,1.04,2.01,0,126.1,1.04,2.01,0
262144,65536,float,sum,-1,285.8,0.92,1.78,0,282.8,0.93,1.80,0
524288,131072,float,sum,-1,293.5,1.79,3.46,0,290.2,1.81,3.50,0
1048576,262144,float,sum,-1,264.1,3.97,7.69,0,267.6,3.92,7.59,0
2097152,524288,float,sum,-1,332.3,6.31,12.23,0,338.0,6.21,12.02,0
4194304,1048576,float,sum,-1,510.5,8.22,15.92,0,513.6,8.17,15.82,0
8388608,2097152,float,sum,-1,879.7,9.54,18.48,0,867.1,9.67,18.74,0
16777216,4194304,float,sum,-1,2315.8,7.24,14.04,0,2310.9,7.26,14.07,0
33554432,8388608,float,sum,-1,2942.3,11.40,22.10,0,2908.5,11.54,22.35,0
67108864,16777216,float,sum,-1,3067.9,21.87,42.38,0,3074.5,21.83,42.29,0
134217728,33554432,float,sum,-1,3396.1,39.52,76.57,0,3395.7,39.53,76.58,0
