size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,624.3,0.00,0.00,0,598.9,0.00,0.00,0
16,4,float,sum,-1,848.6,0.00,0.00,0,524.5,0.00,0.00,0
32,8,float,sum,-1,516.9,0.00,0.00,0,489.5,0.00,0.00,0
64,16,float,sum,-1,485.9,0.00,0.00,0,495.1,0.00,0.00,0
128,32,float,sum,-1,405.1,0.00,0.00,0,410.5,0.00,0.00,0
256,64,float,sum,-1,388.7,0.00,0.00,0,393.3,0.00,0.00,0
512,128,float,sum,-1,393.4,0.00,0.00,0,397.8,0.00,0.00,0
1024,256,float,sum,-1,394.5,0.00,0.01,0,404.9,0.00,0.00,0
2048,512,float,sum,-1,406.3,0.01,0.01,0,672.7,0.00,0.01,0
4096,1024,float,sum,-1,461.1,0.01,0.02,0,434.2,0.01,0.02,0
8192,2048,float,sum,-1,804.6,0.01,0.02,0,815.2,0.01,0.02,0
16384,4096,float,sum,-1,2132.9,0.01,0.01,0,2135.7,0.01,0.01,0
32768,8192,float,sum,-1,4289.2,0.01,0.01,0,2790.0,0.01,0.02,0
65536,16384,float,sum,-1,3069.1,0.02,0.04,0,2934.1,0.02,0.04,0
131072,32768,float,sum,-1,3196.4,0.04,0.08,0,3106.6,0.04,0.08,0
262144,65536,float,sum,-1,3098.6,0.08,0.16,0,3148.5,0.08,0.16,0
524288,131072,float,sum,-1,675.7,0.78,1.50,0,684.9,0.77,1.48,0
1048576,262144,float,sum,-1,31307,0.03,0.06,0,31204,0.03,0.07,0
2097152,524288,float,sum,-1,31692,0.07,0.13,0,31198,0.07,0.13,0
4194304,1048576,float,sum,-1,31037,0.14,0.26,0,29490,0.14,0.28,0
8388608,2097152,float,sum,-1,48552,0.17,0.33,0,46913,0.18,0.35,0
16777216,4194304,float,sum,-1,122265,0.14,0.27,0,113596,0.15,0.29,0
