size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,67.93,0.00,0.00,0,67.09,0.00,0.00,0
16,4,float,sum,-1,68.05,0.00,0.00,0,67.72,0.00,0.00,0
32,8,float,sum,-1,90.83,0.00,0.00,0,67.56,0.00,0.00,0
64,16,float,sum,-1,73.64,0.00,0.00,0,75.22,0.00,0.00,0
128,32,float,sum,-1,76.19,0.00,0.00,0,319.0,0.00,0.00,0
256,64,float,sum,-1,81.88,0.00,0.01,0,76.09,0.00,0.01,0
512,128,float,sum,-1,79.85,0.01,0.01,0,78.19,0.01,0.01,0
1024,256,float,sum,-1,86.18,0.01,0.02,0,86.08,0.01,0.02,0
2048,512,float,sum,-1,92.73,0.02,0.04,0,91.76,0.02,0.04,0
4096,1024,float,sum,-1,163.6,0.03,0.05,0,154.7,0.03,0.05,0
8192,2048,float,sum,-1,159.2,0.05,0.10,0,157.0,0.05,0.10,0
16384,4096,float,sum,-1,161.2,0.10,0.20,0,158.7,0.10,0.20,0
32768,8192,float,sum,-1,172.0,0.19,0.38,0,171.7,0.19,0.38,0
65536,16384,float,sum,-1,192.2,0.34,0.68,0,189.9,0.35,0.68,0
131072,32768,float,sum,-1,233.3,0.56,1.11,0,229.6,0.57,1.13,0
262144,65536,float,sum,-1,319.6,0.82,1.63,0,312.4,0.84,1.67,0
524288,131072,float,sum,-1,342.5,1.53,3.04,0,337.2,1.55,3.09,0
1048576,262144,float,sum,-1,438.8,2.39,4.74,0,439.3,2.39,4.74,0
2097152,524288,float,sum,-1,662.7,3.16,6.28,0,663.1,3.16,6.28,0
4194304,1048576,float,sum,-1,1108.2,3.78,7.51,0,1131.5,3.71,7.36,0
8388608,2097152,float,sum,-1,1172.5,7.15,14.20,0,1172.3,7.16,14.20,0
16777216,4194304,float,sum,-1,1378.6,12.17,24.15,0,1388.2,12.09,23.98,0
33554432,8388608,float,sum,-1,1782.5,18.82,37.35,0,1793.2,18.71,37.13,0
67108864,16777216,float,sum,-1,2584.7,25.96,51.52,0,2611.3,25.70,51.00,0
134217728,33554432,float,sum,-1,4411.5,30.42,60.37,0,4227.8,31.75,63.00,0
268435456,67108864,float,sum,-1,5961.1,45.03,89.36,0,5968.1,44.98,89.25,0
536870912,134217728,float,sum,-1,11560,46.44,92.16,0,11569,46.40,92.08,0
1073741824,268435456,float,sum,-1,23213,46.26,91.79,0,23172,46.34,91.95,0
2147483648,536870912,float,sum,-1,46651,46.03,91.35,0,46902,45.79,90.86,0
4294967296,1073741824,float,sum,-1,93552,45.91,91.10,0,93723,45.83,90.94,0
8,2,float,sum,-1,68.70,0.00,0.00,0,68.06,0.00,0.00,0
16,4,float,sum,-1,66.97,0.00,0.00,0,66.73,0.00,0.00,0
32,8,float,sum,-1,68.34,0.00,0.00,0,67.13,0.00,0.00,0
64,16,float,sum,-1,73.38,0.00,0.00,0,72.48,0.00,0.00,0
128,32,float,sum,-1,74.60,0.00,0.00,0,74.14,0.00,0.00,0
256,64,float,sum,-1,75.47,0.00,0.01,0,74.88,0.00,0.01,0
512,128,float,sum,-1,78.29,0.01,0.01,0,76.78,0.01,0.01,0
1024,256,float,sum,-1,85.59,0.01,0.02,0,85.39,0.01,0.02,0
2048,512,float,sum,-1,91.91,0.02,0.04,0,91.84,0.02,0.04,0
4096,1024,float,sum,-1,154.8,0.03,0.05,0,154.3,0.03,0.05,0
8192,2048,float,sum,-1,158.2,0.05,0.10,0,156.9,0.05,0.10,0
16384,4096,float,sum,-1,160.5,0.10,0.20,0,159.0,0.10,0.20,0
32768,8192,float,sum,-1,172.6,0.19,0.38,0,170.4,0.19,0.38,0
65536,16384,float,sum,-1,195.9,0.33,0.66,0,193.8,0.34,0.67,0
131072,32768,float,sum,-1,233.5,0.56,1.11,0,228.4,0.57,1.14,0
262144,65536,float,sum,-1,321.0,0.82,1.62,0,312.3,0.84,1.67,0
524288,131072,float,sum,-1,340.3,1.54,3.06,0,337.6,1.55,3.08,0
1048576,262144,float,sum,-1,439.3,2.39,4.74,0,440.0,2.38,4.73,0
2097152,524288,float,sum,-1,663.5,3.16,6.27,0,662.5,3.17,6.28,0
4194304,1048576,float,sum,-1,1107.8,3.79,7.51,0,1109.1,3.78,7.50,0
8388608,2097152,float,sum,-1,1171.2,7.16,14.21,0,1170.8,7.16,14.22,0
16777216,4194304,float,sum,-1,1380.8,12.15,24.11,0,1377.6,12.18,24.17,0
33554432,8388608,float,sum,-1,1774.6,18.91,37.52,0,1779.8,18.85,37.41,0
67108864,16777216,float,sum,-1,2624.5,25.57,50.74,0,2584.6,25.96,51.52,0
134217728,33554432,float,sum,-1,4213.4,31.85,63.21,0,4130.4,32.50,64.48,0
268435456,67108864,float,sum,-1,5935.1,45.23,89.75,0,5929.9,45.27,89.83,0
536870912,134217728,float,sum,-1,11553,46.47,92.22,0,11551,46.48,92.23,0
1073741824,268435456,float,sum,-1,23200,46.28,91.84,0,23216,46.25,91.78,0
2147483648,536870912,float,sum,-1,47087,45.61,90.50,0,46941,45.75,90.78,0
4294967296,1073741824,float,sum,-1,94119,45.63,90.55,0,94197,45.60,90.48,0
8,2,float,sum,-1,67.44,0.00,0.00,0,66.65,0.00,0.00,0
16,4,float,sum,-1,67.90,0.00,0.00,0,66.77,0.00,0.00,0
32,8,float,sum,-1,67.04,0.00,0.00,0,66.86,0.00,0.00,0
64,16,float,sum,-1,72.60,0.00,0.00,0,72.48,0.00,0.00,0
128,32,float,sum,-1,75.64,0.00,0.00,0,73.34,0.00,0.00,0
256,64,float,sum,-1,75.01,0.00,0.01,0,75.00,0.00,0.01,0
512,128,float,sum,-1,77.04,0.01,0.01,0,76.42,0.01,0.01,0
1024,256,float,sum,-1,86.58,0.01,0.02,0,85.26,0.01,0.02,0
2048,512,float,sum,-1,91.49,0.02,0.04,0,90.68,0.02,0.04,0
4096,1024,float,sum,-1,155.9,0.03,0.05,0,153.9,0.03,0.05,0
8192,2048,float,sum,-1,159.5,0.05,0.10,0,157.3,0.05,0.10,0
16384,4096,float,sum,-1,160.4,0.10,0.20,0,158.7,0.10,0.20,0
32768,8192,float,sum,-1,172.0,0.19,0.38,0,169.1,0.19,0.38,0
65536,16384,float,sum,-1,193.4,0.34,0.67,0,191.5,0.34,0.68,0
131072,32768,float,sum,-1,231.9,0.57,1.12,0,229.0,0.57,1.14,0
262144,65536,float,sum,-1,333.8,0.79,1.56,0,311.9,0.84,1.67,0
524288,131072,float,sum,-1,341.4,1.54,3.05,0,337.3,1.55,3.08,0
1048576,262144,float,sum,-1,438.7,2.39,4.74,0,438.8,2.39,4.74,0
2097152,524288,float,sum,-1,662.7,3.16,6.28,0,660.3,3.18,6.30,0
4194304,1048576,float,sum,-1,1108.3,3.78,7.51,0,1107.9,3.79,7.51,0
8388608,2097152,float,sum,-1,1174.4,7.14,14.17,0,1169.9,7.17,14.23,0
16777216,4194304,float,sum,-1,1379.0,12.17,24.14,0,1376.1,12.19,24.19,0
33554432,8388608,float,sum,-1,1775.4,18.90,37.50,0,1789.9,18.75,37.20,0
67108864,16777216,float,sum,-1,2709.5,24.77,49.15,0,2660.3,25.23,50.06,0
134217728,33554432,float,sum,-1,4186.1,32.06,63.62,0,4127.5,32.52,64.53,0
268435456,67108864,float,sum,-1,5934.7,45.23,89.76,0,5930.8,45.26,89.82,0
536870912,134217728,float,sum,-1,11548,46.49,92.25,0,11548,46.49,92.26,0
1073741824,268435456,float,sum,-1,23217,46.25,91.77,0,23197,46.29,91.85,0
2147483648,536870912,float,sum,-1,46604,46.08,91.44,0,46649,46.03,91.35,0
4294967296,1073741824,float,sum,-1,94369,45.51,90.31,0,94153,45.62,90.52,0
8,2,float,sum,-1,68.18,0.00,0.00,0,66.84,0.00,0.00,0
16,4,float,sum,-1,66.87,0.00,0.00,0,67.33,0.00,0.00,0
32,8,float,sum,-1,67.10,0.00,0.00,0,66.89,0.00,0.00,0
